time,tag_id,tag_name,blink_id,AN_1,AN_2,AN_3,AN_4,AN_5,AN_6,last_pos_x,last_pos_y,last_pos_z,aver_pos_x,aver_pos_y,aver_pos_z
184830,1835046,Tag_1,240,106475,106475,,,106474,106474,2.689650205761319,2.853600823046337,0,2.689650205761319,2.853600823046337,0
184831,1835046,Tag_1,242,107447,107447,,,107446,107446,2.689650205761319,2.853600823046337,0,2.689650205761319,2.853600823046337,0.0
184831,1835046,Tag_1,243,107936,107937,,,107936,107936,2.6950607287449384,4.19,0,2.6937080979990338,3.8559002057615843,0.0
184832,1835046,Tag_1,246,109406,109406,,,109405,109405,2.689650205761319,2.853600823046337,0,2.6906646788207476,3.1041756687251487,0.0
184833,1835046,Tag_1,249,110851,110851,,,110850,110850,2.689650205761319,2.853600823046337,0,2.689903824026176,2.91624453446604,0.0
184833,1835046,Tag_1,250,111340,111341,,,111340,111340,2.6950607287449384,4.19,0,2.693771502565248,3.87156113361651,0.0
184833,1835046,Tag_1,251,111822,111822,,,111821,111821,2.689650205761319,2.853600823046337,0,2.690680529962301,3.10809090068888,0.0
184834,1835046,Tag_1,254,113283,113283,,,113282,113101,2.6901414456521167,3.094308369537127,0,2.6902762167296626,3.097754002325065,0.0
184835,1835046,Tag_1,0,113636,113636,,,113635,113635,2.689650205761319,2.853600823046337,0,2.6898067085034048,2.914639117866019,0.0
184835,1835046,Tag_1,2,114735,114735,,,114734,114734,2.689650205761319,2.853600823046337,0,2.68968933144684,2.8688603967512574,0.0
184836,1835046,Tag_1,5,116148,116187,,,116186,116186,2.69414030234255,3.962654678610212,0,2.6901344285364113,2.9782398249371527,0.0
184836,1835046,Tag_1,6,116676,116676,,,116675,116675,2.689650205761319,2.853600823046337,0,2.6900860062589023,2.9657759247480713,0.0
184838,1835046,Tag_1,10,118616,118617,,,118616,118616,2.6950607287449384,4.19,0,2.690583478507506,3.0881983322732642,0.0
184838,1835046,Tag_1,12,119578,119579,,,119578,119578,2.6950607287449384,4.19,0,2.691031203531249,3.198378499045938,0.0
184838,1835046,Tag_1,13,120068,120068,,,120067,120067,2.689650205761319,2.853600823046337,0,2.6908931037542563,3.163900731445978,0.0
184839,1835046,Tag_1,14,120548,120549,,,120548,120548,2.6950607287449384,4.19,0,2.6913098662533246,3.2665106583013803,0.0
184840,1835046,Tag_1,19,122953,122953,,,122952,122952,2.689650205761319,2.853600823046337,0,2.6911439002041244,3.225219674775876,0.0
184841,1835046,Tag_1,21,123898,123898,,,123898,123897,2.692377551020408,4.190000000000009,0,2.6912672652857528,3.3216977072982896,0.0
184841,1835046,Tag_1,22,124379,124379,,,124378,124290,2.6912840480025273,3.6541835212384273,0,2.6912689435574304,3.354946288692304,0.0
184842,1835046,Tag_1,24,125324,125305,,,125323,125323,2.6946223494385513,4.081720311322137,0,2.6916042841455425,3.4276236909552873,0.0
184842,1835046,Tag_1,25,125797,125797,,,125796,125796,2.689650205761319,2.853600823046337,0,2.6914088763071202,3.370221404164392,0.0
184843,1835046,Tag_1,27,126750,126750,,,126749,126749,2.689650205761319,2.853600823046337,0,2.6912330092525405,3.3185593460525866,0.0
184843,1835046,Tag_1,29,127687,127687,,,127686,127686,2.689650205761319,2.853600823046337,0,2.6910747289034185,3.2720634937519617,0.0
184844,1835046,Tag_1,30,128167,128167,,,128166,128166,2.689650205761319,2.853600823046337,0,2.6909322765892085,3.230217226681399,0.0
184844,1835046,Tag_1,32,129120,129120,,,129119,129119,2.689650205761319,2.853600823046337,0,2.6908040695064197,3.192555586317893,0.0
184845,1835046,Tag_1,33,129584,129584,,,129583,129583,2.689650205761319,2.853600823046337,0,2.69068868313191,3.158660109990737,0.0
184845,1835046,Tag_1,34,130064,130064,,,130063,130063,2.689650205761319,2.853600823046337,0,2.690584835394851,3.128154181296297,0.0
184845,1835046,Tag_1,35,130392,130536,,,130535,130402,-2.999655170783367,-0.37759011654340296,0,2.121560834777029,2.777579751512327,0.0
184846,1835046,Tag_1,37,131402,131480,,,131480,131402,2.6937272928032194,4.19088537278926,0,2.1787774805796483,2.9189103136400205,0.0
184846,1835046,Tag_1,39,132428,132432,,,132431,132427,2.730239600042622,4.190590465180133,0,2.233923692525946,3.0460783287940316,0.0
184848,1835046,Tag_1,45,135279,135280,,,135279,135279,2.6950607287449384,4.19,0,2.2800373961478453,3.1604704959146286,0.0
184849,1835046,Tag_1,46,135751,135751,,,135750,135750,2.689650205761319,2.853600823046337,0,2.320998677109193,3.1297835286277995,0.0
184849,1835046,Tag_1,49,137166,137166,,,137165,137165,2.689650205761319,2.853600823046337,0,2.3578638299744057,3.102165258069653,0.0
184850,1835046,Tag_1,50,137518,137646,,,137645,137526,-1.2563979740767068,0.8564224351714868,0,1.9964376495692946,2.8775909757798366,0.0
184850,1835046,Tag_1,52,138536,138589,,,138588,138588,2.6937986703105636,3.878271566709482,0,2.0661737516434218,2.977659034872801,0.0
184851,1835046,Tag_1,54,139540,139540,,,139539,139539,2.689650205761319,2.853600823046337,0,2.1285213970552115,2.9652532136901546,0.0
184852,1835046,Tag_1,56,140483,140483,,,140482,140482,2.689650205761319,2.853600823046337,0,2.1846342779258223,2.954087974625773,0.0
184852,1835046,Tag_1,57,140954,140954,,,140953,140953,2.689650205761319,2.853600823046337,0,2.2351358707093723,2.944039259467829,0.0
184853,1835046,Tag_1,61,142846,142847,,,142846,142846,2.6950607287449384,4.19,0,2.281128356512929,3.0686353335210463,0.0
184853,1835046,Tag_1,62,143310,143310,,,143309,143309,2.689650205761319,2.853600823046337,0,2.321980541437768,3.0471318824735754,0.0
184854,1835046,Tag_1,63,143789,143789,,,143621,143788,2.690314345375729,3.1790292341073387,0,2.358813921831564,3.060321617636952,0.0
184854,1835046,Tag_1,64,144260,144260,,,144259,144259,2.689650205761319,2.853600823046337,0,2.39189755022454,3.0396495381778905,0.0
